data;

#=========================
# Sets
#=========================
set T := t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 t20 t21 t22 t23 t24 t25 t26 t27 t28 t29 t30 t31 t32 t33 t34 t35 t36 t37 t38 t39 t40 t41 t42 t43 t44 t45 t46 t47 t48 t49 t50 t51 t52 t53 t54 t55 t56 t57 t58 t59 t60 t61 t62 t63 t64 t65 t66 t67 t68 t69 t70 t71 t72 t73 t74 t75 t76 t77 t78 t79 t80 t81 t82 t83 t84 t85 t86 t87 t88 t89 t90 t91 t92 t93 t94 t95 t96 t97 t98 t99 t100 t101 t102 t103 t104 t105 t106 t107 t108 t109 t110 t111 t112 t113 t114 t115 t116 t117 t118 t119 t120 t121 t122 t123 t124 t125 t126 t127 t128 t129 t130 t131 t132 t133 t134 t135 t136 t137 t138 t139 t140 t141 t142 t143 t144 t145 t146 t147 t148 t149 t150 t151 t152 t153 t154 t155 t156 t157 t158 t159 t160 t161 t162 t163 t164 t165 t166 t167 t168 t169 t170 t171 t172 t173 t174 t175 t176 t177 t178 t179 t180 t181 t182 t183 t184 t185 t186 t187 t188 t189 t190 t191 t192 t193 t194 t195 t196 t197 t198 t199 t200 t201 t202 t203 t204 t205 t206 t207 t208 t209 t210 t211 t212 t213 t214 t215 t216 t217 t218 t219 t220 t221 t222 t223 t224 t225 t226 t227 t228 t229 t230 t231 t232 t233 t234 t235 t236 t237 t238 t239 t240 t241 t242 t243 t244 t245 t246 t247 t248 t249 t250 t251 t252 t253 t254 t255 t256 t257 t258 t259 t260 t261 t262 t263 t264 t265 t266 t267 t268 t269 t270 t271 t272 t273 t274 t275 t276 t277 t278 t279 t280 t281 t282 t283 t284 t285 t286 t287 t288 t289 t290 t291 t292 t293 t294 t295 t296 t297 t298 t299 t300 t301 t302 t303 t304 t305 t306 t307 t308 t309 t310 t311 t312 t313 t314 t315 t316 t317 t318 t319 t320 t321 t322 t323 t324 t325 t326 t327 t328 t329 t330 t331 t332 t333 t334 t335 t336 t337 t338 t339 t340 t341 t342 t343 t344 t345 t346 t347 t348 t349 t350 t351 t352 t353 t354 t355 t356 t357 t358 t359 t360 t361 t362 t363 t364 t365 t366 t367 t368 t369 t370 t371 t372 t373 t374 t375 t376 t377 t378 t379 t380 t381 t382 t383 t384 t385 t386 t387 t388 t389 t390 t391 t392 t393 t394 t395 t396 t397 t398 t399 t400 t401 t402 t403 t404 t405 t406 t407 t408 t409 t410 t411 t412 t413 t414 t415 t416 t417 t418 t419 t420 t421 t422 t423 t424 t425 t426 t427 t428 t429 t430 t431 t432 t433 t434 t435 t436 t437 t438 t439 t440 t441 t442 t443 t444 t445 t446 t447 t448 t449 t450 t451 t452 t453 t454 t455 t456 t457 t458 t459 t460 t461 t462 t463 t464 t465 t466 t467 t468 t469 t470 t471 t472 t473 t474 t475 t476 t477 t478 t479 t480 t481 t482 t483 t484 t485 t486 t487 t488 t489 t490 t491 t492 t493 t494 t495 t496 t497 t498 t499 t500 t501 t502 t503 t504 t505 t506 t507 t508 t509 t510 t511 t512 t513 t514 t515 t516 t517 t518 t519 t520 t521 t522 t523 t524 t525 t526 t527 t528 t529 t530 t531 t532 t533 t534 t535 t536 t537 t538 t539 t540 t541 t542 t543 t544 t545 t546 t547 t548 t549 t550 t551 t552 t553 t554 t555 t556 t557 t558 t559 t560 t561 t562 t563 t564 t565 t566 t567 t568 t569 t570 t571 t572 t573 t574 t575 t576 t577 t578 t579 t580 t581 t582 t583 t584 t585 t586 t587 t588 t589 t590 t591 t592 t593 t594 t595 t596 t597 t598 t599 t600;
set S := s1 s2 s3;
param N := 84;
  t180 6 8 6
  t181 2 7 2
  t182 5 8 9
  t183 8 8 6
  t184 1 1 2
  t185 9 9 6
  t186 4 3 7
  t187 10 8 7
  t188 4 2 9
  t189 6 8 5
  t190 6 10 10
  t191 6 10 5
  t192 6 4 2
  t193 3 7 10
  t194 3 9 9
  t195 5 3 8
  t196 1 3 7
  t197 8 8 3
  t198 1 5 5
  t199 5 8 9
  t200 2 9 9
  t201 9 7 4
  t202 8 6 8
  t203 4 10 3
  t204 4 10 9
  t205 9 6 5
  t206 2 7 5
  t207 4 6 7
  t208 10 7 8
  t209 7 6 8
  t210 1 8 2
  t211 7 8 6
  t212 9 10 6
  t213 2 1 3
  t214 1 4 5
  t215 2 5 6
  t216 7 4 2
  t217 4 2 10
  t218 8 1 2
  t219 8 4 2
  t220 6 5 7
  t221 2 10 8
  t222 3 10 4
  t223 3 10 6
  t224 3 5 4
  t225 5 9 7
  t226 4 7 4
  t227 2 6 3
  t228 7 9 8
  t229 10 1 4
  t230 7 9 7
  t231 9 5 5
  t232 4 9 7
  t233 7 1 2
  t234 8 5 2
  t235 1 8 9
  t236 6 5 1
  t237 5 5 8
  t238 6 8 6
  t239 2 4 1
  t240 1 6 3
  t241 9 4 4
  t242 5 10 2
  t243 4 7 8
  t244 6 9 1
  t245 5 10 8
  t246 8 9 3
  t247 1 9 1
  t248 7 2 9
  t249 8 3 2
  t250 9 6 2
  t251 3 2 7
  t252 5 6 6
  t253 5 2 3
  t254 2 8 6
  t255 9 4 5
  t256 2 3 10
  t257 6 2 6
  t258 1 5 1
  t259 9 2 2
  t260 1 4 4
  t261 2 2 2
  t262 3 6 1
  t263 3 7 1
  t264 3 4 5
  t265 3 10 5
  t266 9 1 5
  t267 7 9 9
  t268 6 9 6
  t269 5 1 10
  t270 5 8 10
  t271 2 4 9
  t272 10 6 3
  t273 6 10 6
  t274 4 9 3
  t275 2 4 1
  t276 6 3 3
  t277 1 10 2
  t278 6 10 6
  t279 3 7 6
  t280 10 4 7
  t281 3 1 10
  t282 10 10 10
  t283 3 2 6
  t284 2 8 5
  t285 2 5 1
  t286 8 3 8
  t287 9 2 10
  t288 8 1 1
  t289 2 6 7
  t290 9 6 1
  t291 10 3 2
  t292 4 9 5
  t293 2 7 3
  t294 1 2 10
  t295 2 4 5
  t296 2 7 8
  t297 9 3 7
  t298 8 5 8
  t299 5 3 2
  t300 7 9 7
  t301 8 8 2
  t302 9 2 3
  t303 4 1 2
  t304 3 6 2
  t305 7 5 1
  t306 7 3 2
  t307 9 7 7
  t308 10 1 5
  t309 10 1 6
  t310 8 6 6
  t311 5 2 3
  t312 6 7 4
  t313 7 9 1
  t314 5 3 3
  t315 1 1 1
  t316 5 8 2
  t317 6 10 3
  t318 9 6 5
  t319 1 1 10
  t320 4 5 9
  t321 8 3 4
  t322 5 7 6
  t323 4 5 10
  t324 9 9 5
  t325 2 5 5
  t326 4 9 1
  t327 3 8 5
  t328 7 10 6
  t329 8 9 3
  t330 2 3 9
  t331 2 6 5
  t332 6 10 8
  t333 1 8 9
  t334 9 7 3
  t335 6 10 3
  t336 2 6 6
  t337 8 4 10
  t338 2 10 7
  t339 8 1 9
  t340 1 9 1
  t341 4 5 2
  t342 10 3 1
  t343 8 7 6
  t344 4 7 4
  t345 4 10 2
  t346 7 9 10
  t347 1 2 8
  t348 9 8 4
  t349 7 9 10
  t350 2 5 2
  t351 10 5 6
  t352 3 9 4
  t353 4 1 2
  t354 2 2 4
  t355 5 1 3
  t356 6 7 2
  t357 3 6 8
  t358 6 3 7
  t359 5 8 3
  t360 1 2 10
  t361 8 10 6
  t362 8 2 8
  t363 5 1 6
  t364 4 6 3
  t365 3 8 2
  t366 4 5 9
  t367 7 4 8
  t368 8 8 6
  t369 1 7 1
  t370 10 9 8
  t371 1 8 9
  t372 8 2 1
  t373 5 2 3
  t374 7 5 4
  t375 4 4 2
  t376 10 8 10
  t377 1 9 10
  t378 3 3 7
  t379 7 10 5
  t380 5 3 7
  t381 6 4 10
  t382 3 9 2
  t383 8 9 7
  t384 2 7 1
  t385 5 5 3
  t386 4 6 2
  t387 7 9 1
  t388 7 9 1
  t389 10 4 10
  t390 5 3 3
  t391 2 1 5
  t392 3 1 8
  t393 3 10 10
  t394 10 2 9
  t395 9 9 7
  t396 6 4 6
  t397 4 9 2
  t398 4 1 7
  t399 5 1 9
  t400 1 4 9
  t401 3 2 4
  t402 4 2 1
  t403 1 2 3
  t404 2 5 7
  t405 7 1 2
  t406 2 2 9
  t407 5 5 7
  t408 8 9 3
  t409 5 5 1
  t410 1 10 9
  t411 4 4 9
  t412 3 10 4
  t413 10 9 9
  t414 2 2 10
  t415 6 4 5
  t416 6 8 10
  t417 3 6 3
  t418 4 7 6
  t419 8 8 5
  t420 2 10 5
  t421 4 2 1
  t422 10 10 1
  t423 9 3 7
  t424 5 8 7
  t425 1 10 9
  t426 3 10 8
  t427 4 4 5
  t428 1 9 7
  t429 1 6 9
  t430 10 7 6
  t431 5 4 6
  t432 8 9 8
  t433 2 4 3
  t434 10 4 6
  t435 8 4 7
  t436 1 10 3
  t437 3 3 3
  t438 10 5 4
  t439 8 3 7
  t440 3 3 8
  t441 7 3 1
  t442 9 3 3
  t443 10 9 2
  t444 10 7 6
  t445 7 8 6
  t446 3 8 2
  t447 9 5 1
  t448 9 9 7
  t449 7 2 7
  t450 9 10 10
  t451 4 9 3
  t452 9 5 10
  t453 3 4 3
  t454 9 6 3
  t455 2 8 2
  t456 4 2 7
  t457 9 10 3
  t458 1 9 4
  t459 9 10 1
  t460 1 2 7
  t461 7 9 2
  t462 5 6 4
  t463 7 5 7
  t464 2 6 9
  t465 10 8 10
  t466 6 8 8
  t467 2 4 6
  t468 9 5 5
  t469 6 9 8
  t470 4 3 8
  t471 4 4 4
  t472 6 2 2
  t473 1 8 10
  t474 10 8 9
  t475 4 1 8
  t476 6 3 2
  t477 1 4 10
  t478 6 3 4
  t479 10 6 8
  t480 7 6 5
  t481 10 10 2
  t482 9 7 3
  t483 1 7 3
  t484 5 9 7
  t485 1 5 2
  t486 5 6 6
  t487 2 10 10
  t488 6 9 8
  t489 10 8 3
  t490 10 2 3
  t491 6 5 10
  t492 8 10 7
  t493 1 4 2
  t494 7 2 8
  t495 7 2 10
  t496 7 4 5
  t497 3 1 6
  t498 8 9 3
  t499 10 10 9
  t500 8 2 5
  t501 5 5 1
  t502 5 9 8
  t503 1 5 1
  t504 7 7 3
  t505 4 2 4
  t506 9 7 2
  t507 5 8 5
  t508 6 3 9
  t509 2 5 8
  t510 2 1 4
  t511 5 6 1
  t512 3 5 2
  t513 4 7 2
  t514 8 1 8
  t515 4 7 6
  t516 9 5 5
  t517 1 2 7
  t518 3 10 7
  t519 1 10 6
  t520 3 2 1
  t521 3 3 4
  t522 6 4 7
  t523 5 8 9
  t524 8 10 9
  t525 8 10 2
  t526 5 9 8
  t527 7 1 10
  t528 2 4 9
  t529 5 7 2
  t530 2 3 1
  t531 8 2 10
  t532 9 1 4
  t533 4 2 1
  t534 7 1 9
  t535 5 4 2
  t536 7 4 10
  t537 9 2 8
  t538 3 9 9
  t539 9 6 9
  t540 7 6 10
  t541 9 6 8
  t542 1 10 9
  t543 1 4 6
  t544 9 2 8
  t545 3 6 4
  t546 2 10 2
  t547 3 10 10
  t548 10 2 6
  t549 7 4 7
  t550 9 6 6
  t551 1 8 4
  t552 7 3 2
  t553 1 5 7
  t554 3 9 8
  t555 4 4 5
  t556 10 2 7
  t557 4 6 5
  t558 10 10 8
  t559 4 3 2
  t560 10 5 6
  t561 8 1 4
  t562 9 9 10
  t563 7 5 1
  t564 10 1 1
  t565 5 2 5
  t566 7 6 10
  t567 4 9 1
  t568 5 8 3
  t569 6 5 9
  t570 5 1 4
  t571 7 2 9
  t572 4 7 10
  t573 9 4 10
  t574 5 7 10
  t575 2 3 3
  t576 7 5 5
  t577 2 3 10
  t578 10 10 4
  t579 2 3 6
  t580 8 3 4
  t581 7 5 4
  t582 2 8 6
  t583 7 1 6
  t584 10 9 8
  t585 4 1 9
  t586 5 7 5
  t587 7 10 9
  t588 8 9 3
  t589 7 8 3
  t590 4 2 6
  t591 2 8 2
  t592 10 7 1
  t593 10 3 3
  t594 5 8 3
  t595 4 10 1
  t596 8 10 4
  t597 8 7 2
  t598 9 10 1
  t599 1 1 1
  t600 2 2 3
;

param S_time : s1 s2 s3 :=
  t1 0 2 1
  t2 0 0 1
  t3 1 0 2
  t4 1 1 3
  t5 3 2 1
  t6 3 2 0
  t7 0 3 0
  t8 2 0 3
  t9 0 1 3
  t10 0 0 0
  t11 0 3 1
  t12 2 3 0
  t13 2 3 2
  t14 2 1 2
  t15 0 3 1
  t16 3 2 2
  t17 1 3 1
  t18 0 0 0
  t19 1 3 1
  t20 1 0 2
  t21 2 1 1
  t22 1 3 2
  t23 3 1 1
  t24 3 0 0
  t25 1 3 1
  t26 1 2 3
  t27 2 3 2
  t28 2 2 1
  t29 3 3 0
  t30 2 1 3
  t31 1 0 1
  t32 3 0 0
  t33 1 2 0
  t34 1 3 0
  t35 0 0 3
  t36 2 0 0
  t37 0 2 0
  t38 2 3 1
  t39 3 2 0
  t40 2 3 3
  t41 1 2 2
  t42 2 3 3
  t43 3 2 2
  t44 0 1 2
  t45 0 2 3
  t46 1 2 0
  t47 3 0 3
  t48 1 1 3
  t49 0 2 3
  t50 1 2 3
  t51 1 2 2
  t52 0 1 3
  t53 2 3 2
  t54 0 0 1
  t55 2 0 2
  t56 1 1 1
  t57 3 2 2
  t58 1 0 2
  t59 3 0 2
  t60 3 2 1
  t61 0 1 1
  t62 1 2 2
  t63 2 2 0
  t64 1 2 0
  t65 0 2 3
  t66 3 2 3
  t67 2 0 1
  t68 3 1 1
  t69 2 1 0
  t70 3 2 1
  t71 0 3 3
  t72 2 2 1
  t73 3 2 0
  t74 3 1 2
  t75 2 3 0
  t76 1 2 2
  t77 0 1 2
  t78 3 2 0
  t79 3 2 2
  t80 3 0 0
  t81 3 3 1
  t82 2 3 2
  t83 3 2 0
  t84 0 2 3
  t85 1 3 3
  t86 0 0 0
  t87 3 3 3
  t88 3 1 1
  t89 3 3 1
  t90 2 2 3
  t91 2 2 2
  t92 3 3 2
  t93 3 2 2
  t94 0 3 3
  t95 2 2 0
  t96 1 0 1
  t97 0 2 0
  t98 1 3 1
  t99 2 0 1
  t100 1 1 3
  t101 2 0 0
  t102 3 3 3
  t103 0 1 2
  t104 2 1 3
  t105 2 3 1
  t106 2 0 3
  t107 2 2 0
  t108 1 0 2
  t109 2 2 1
  t110 3 3 2
  t111 3 1 0
  t112 2 0 1
  t113 1 2 3
  t114 3 3 3
  t115 3 0 3
  t116 3 0 0
  t117 2 0 3
  t118 3 1 2
  t119 3 0 1
  t120 1 3 1
  t121 0 3 3
  t122 1 3 1
  t123 0 3 0
  t124 0 0 0
  t125 3 1 1
  t126 2 2 2
  t127 1 1 2
  t128 1 3 2
  t129 2 3 2
  t130 3 1 1
  t131 3 1 1
  t132 2 3 0
  t133 0 3 0
  t134 1 1 2
  t135 1 3 1
  t136 2 3 2
  t137 2 3 0
  t138 1 2 0
  t139 1 2 3
  t140 1 1 1
  t141 2 3 3
  t142 1 3 0
  t143 0 0 1
  t144 1 1 3
  t145 3 0 3
  t146 2 2 3
  t147 0 1 1
  t148 2 2 0
  t149 3 1 2
  t150 0 3 3
  t151 1 3 2
  t152 0 1 3
  t153 0 0 2
  t154 1 0 1
  t155 3 2 1
  t156 2 0 1
  t157 3 0 3
  t158 2 3 1
  t159 0 2 0
  t160 1 1 2
  t161 0 2 2
  t162 1 1 3
  t163 3 0 2
  t164 2 0 3
  t165 1 1 1
  t166 2 3 0
  t167 2 2 0
  t168 1 1 0
  t169 0 2 3
  t170 2 1 2
  t171 3 1 2
  t172 1 3 3
  t173 1 1 0
  t174 3 0 3
  t175 1 1 3
  t176 3 3 3
  t177 2 0 1
  t178 0 3 3
  t179 0 1 1
  t180 3 1 0
  t181 2 0 1
  t182 2 1 3
  t183 0 3 0
  t184 0 2 1
  t185 1 1 3
  t186 3 1 3
  t187 1 3 0
  t188 2 0 1
  t189 1 0 3
  t190 3 3 0
  t191 3 1 0
  t192 0 2 1
  t193 3 1 3
  t194 3 1 1
  t195 1 2 0
  t196 3 1 3
  t197 3 3 0
  t198 1 0 1
  t199 1 3 0
  t200 2 2 0
  t201 1 0 2
  t202 2 0 0
  t203 2 3 1
  t204 0 2 2
  t205 1 2 2
  t206 1 0 1
  t207 1 1 3
  t208 2 3 0
  t209 2 3 2
  t210 0 2 3
  t211 1 2 2
  t212 1 3 0
  t213 3 0 3
  t214 3 1 1
  t215 2 0 1
  t216 2 3 0
  t217 3 1 1
  t218 0 2 3
  t219 0 3 0
  t220 2 1 1
  t221 0 1 2
  t222 3 3 0
  t223 0 3 3
  t224 1 0 2
  t225 1 1 2
  t226 3 0 3
  t227 0 2 3
  t228 2 1 0
  t229 0 2 0
  t230 2 3 3
  t231 1 0 0
  t232 1 2 0
  t233 1 1 3
  t234 0 1 0
  t235 1 2 2
  t236 1 0 2
  t237 0 0 3
  t238 0 1 1
  t239 0 0 0
  t240 3 3 1
  t241 3 2 3
  t242 0 2 0
  t243 0 0 2
  t244 0 3 2
  t245 2 1 2
  t246 1 1 0
  t247 1 2 2
  t248 2 1 1
  t249 0 2 0
  t250 3 3 0
  t251 3 0 1
  t252 2 3 2
  t253 1 1 0
  t254 1 3 3
  t255 2 3 3
  t256 0 2 0
  t257 1 1 3
  t258 2 1 3
  t259 1 3 1
  t260 0 1 3
  t261 2 0 1
  t262 0 0 3
  t263 3 3 3
  t264 2 1 2
  t265 0 1 3
  t266 3 0 3
  t267 1 1 0
  t268 3 3 2
  t269 1 2 1
  t270 0 2 1
  t271 1 2 0
  t272 3 1 1
  t273 2 0 1
  t274 3 2 3
  t275 0 1 3
  t276 1 2 2
  t277 1 1 2
  t278 3 0 2
  t279 1 3 1
  t280 2 1 2
  t281 1 3 0
  t282 2 1 0
  t283 2 1 2
  t284 2 0 1
  t285 2 0 0
  t286 3 3 3
  t287 3 3 1
  t288 0 2 2
  t289 0 1 1
  t290 0 3 3
  t291 3 0 2
  t292 3 2 2
  t293 0 3 0
  t294 3 2 3
  t295 0 1 0
  t296 2 3 2
  t297 3 2 2
  t298 0 3 2
  t299 0 0 2
  t300 1 0 3
  t301 1 2 3
  t302 1 3 1
  t303 1 3 3
  t304 2 0 3
  t305 2 3 3
  t306 1 0 0
  t307 2 2 3
  t308 3 1 3
  t309 3 3 1
  t310 2 0 2
  t311 3 1 2
  t312 2 0 3
  t313 3 2 1
  t314 3 0 1
  t315 1 3 2
  t316 2 3 0
  t317 3 3 3
  t318 2 1 0
  t319 3 1 1
  t320 1 3 0
  t321 1 0 2
  t322 2 3 3
  t323 3 3 0
  t324 2 2 0
  t325 2 2 2
  t326 1 1 3
  t327 0 2 3
  t328 0 1 1
  t329 2 2 1
  t330 3 2 1
  t331 1 1 3
  t332 2 2 0
  t333 0 1 0
  t334 2 0 1
  t335 3 3 2
  t336 3 1 0
  t337 2 1 1
  t338 1 3 3
  t339 3 0 1
  t340 2 1 0
  t341 2 1 3
  t342 2 0 2
  t343 2 1 3
  t344 1 0 1
  t345 0 1 2
  t346 2 0 0
  t347 0 3 3
  t348 2 1 0
  t349 0 2 1
  t350 0 0 3
  t351 1 1 3
  t352 0 3 3
  t353 0 0 3
  t354 0 2 3
  t355 3 0 0
  t356 2 0 0
  t357 1 2 2
  t358 2 0 3
  t359 3 3 0
  t360 1 3 3
  t361 1 3 0
  t362 3 3 0
  t363 2 1 0
  t364 3 3 0
  t365 3 1 3
  t366 2 0 1
  t367 3 0 3
  t368 0 3 0
  t369 0 3 0
  t370 2 1 2
  t371 1 2 3
  t372 0 1 2
  t373 2 0 3
  t374 0 1 0
  t375 3 2 3
  t376 0 3 1
  t377 0 3 3
  t378 1 0 2
  t379 3 1 3
  t380 3 1 2
  t381 1 1 2
  t382 1 2 2
  t383 3 2 0
  t384 0 1 0
  t385 1 2 0
  t386 0 3 1
  t387 1 2 3
  t388 2 0 2
  t389 3 2 1
  t390 3 0 1
  t391 3 3 2
  t392 2 2 1
  t393 2 0 2
  t394 2 2 1
  t395 0 1 3
  t396 1 2 2
  t397 3 0 2
  t398 1 2 0
  t399 2 2 3
  t400 2 2 0
  t401 0 1 3
  t402 3 1 3
  t403 0 0 2
  t404 1 3 3
  t405 2 3 0
  t406 0 2 0
  t407 0 3 3
  t408 1 1 3
  t409 1 2 1
  t410 0 3 0
  t411 2 3 1
  t412 1 2 0
  t413 0 3 0
  t414 2 1 3
  t415 1 0 0
  t416 3 2 2
  t417 2 3 0
  t418 1 2 1
  t419 3 2 3
  t420 1 0 1
  t421 2 0 0
  t422 3 1 2
  t423 3 2 1
  t424 1 0 2
