data;

#=========================
# Sets
#=========================
set T := t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 t20 t21 t22 t23 t24 t25 t26 t27 t28 t29 t30 t31 t32 t33 t34 t35 t36 t37 t38 t39 t40 t41 t42 t43 t44 t45 t46 t47 t48 t49 t50 t51 t52 t53 t54 t55 t56 t57 t58 t59 t60 t61 t62 t63 t64 t65 t66 t67 t68 t69 t70 t71 t72 t73 t74 t75 t76 t77 t78 t79 t80 t81 t82 t83 t84 t85 t86 t87 t88 t89 t90 t91 t92 t93 t94 t95 t96 t97 t98 t99 t100 t101 t102 t103 t104 t105 t106 t107 t108 t109 t110 t111 t112 t113 t114 t115 t116 t117 t118 t119 t120 t121 t122 t123 t124 t125 t126 t127 t128 t129 t130 t131 t132 t133 t134 t135 t136 t137 t138 t139 t140 t141 t142 t143 t144 t145 t146 t147 t148 t149 t150 t151 t152 t153 t154 t155 t156 t157 t158 t159 t160 t161 t162 t163 t164 t165 t166 t167 t168 t169 t170 t171 t172 t173 t174 t175 t176 t177 t178 t179 t180 t181 t182 t183 t184 t185 t186 t187 t188 t189 t190 t191 t192 t193 t194 t195 t196 t197 t198 t199 t200 t201 t202 t203 t204 t205 t206 t207 t208 t209 t210 t211 t212 t213 t214 t215 t216 t217 t218 t219 t220 t221 t222 t223 t224 t225 t226 t227 t228 t229 t230 t231 t232 t233 t234 t235 t236 t237 t238 t239 t240 t241 t242 t243 t244 t245 t246 t247 t248 t249 t250 t251 t252 t253 t254 t255 t256 t257 t258 t259 t260 t261 t262 t263 t264 t265 t266 t267 t268 t269 t270 t271 t272 t273 t274 t275 t276 t277 t278 t279 t280 t281 t282 t283 t284 t285 t286 t287 t288 t289 t290 t291 t292 t293 t294 t295 t296 t297 t298 t299 t300 t301 t302 t303 t304 t305 t306 t307 t308 t309 t310 t311 t312 t313 t314 t315 t316 t317 t318 t319 t320 t321 t322 t323 t324 t325 t326 t327 t328 t329 t330 t331 t332 t333 t334 t335 t336 t337 t338 t339 t340 t341 t342 t343 t344 t345 t346 t347 t348 t349 t350 t351 t352 t353 t354 t355 t356 t357 t358 t359 t360 t361 t362 t363 t364 t365 t366 t367 t368 t369 t370 t371 t372 t373 t374 t375 t376 t377 t378 t379 t380 t381 t382 t383 t384 t385 t386 t387 t388 t389 t390 t391 t392 t393 t394 t395 t396 t397 t398 t399 t400;
set S := s1 s2 s3;
param N := 51;
  t131 7 8 1
  t132 7 8 6
  t133 6 7 6
  t134 4 2 8
  t135 2 5 10
  t136 3 10 4
  t137 9 8 8
  t138 7 4 10
  t139 1 8 5
  t140 7 5 7
  t141 7 10 6
  t142 7 9 10
  t143 2 6 9
  t144 4 9 1
  t145 6 9 3
  t146 10 3 10
  t147 6 10 8
  t148 6 7 1
  t149 10 1 3
  t150 4 10 4
  t151 6 3 4
  t152 10 1 9
  t153 6 9 6
  t154 9 9 5
  t155 4 9 4
  t156 4 6 6
  t157 2 7 3
  t158 5 6 5
  t159 4 9 3
  t160 10 4 9
  t161 1 7 8
  t162 1 7 8
  t163 6 1 10
  t164 1 7 1
  t165 3 1 5
  t166 5 9 3
  t167 4 6 8
  t168 1 5 3
  t169 9 2 2
  t170 8 4 5
  t171 8 6 10
  t172 6 1 8
  t173 7 2 6
  t174 3 3 10
  t175 9 9 4
  t176 8 2 1
  t177 9 3 9
  t178 4 2 1
  t179 9 8 9
  t180 1 5 4
  t181 7 2 2
  t182 5 3 7
  t183 8 7 9
  t184 2 9 9
  t185 1 5 9
  t186 7 4 6
  t187 4 1 10
  t188 4 2 8
  t189 1 8 9
  t190 3 4 10
  t191 5 9 7
  t192 1 7 1
  t193 9 7 3
  t194 3 4 5
  t195 1 7 7
  t196 4 2 6
  t197 4 5 10
  t198 4 8 6
  t199 4 2 4
  t200 4 5 8
  t201 5 9 8
  t202 6 6 7
  t203 4 1 9
  t204 3 6 7
  t205 9 5 8
  t206 6 3 3
  t207 1 1 7
  t208 2 1 9
  t209 1 8 1
  t210 1 9 1
  t211 2 9 4
  t212 9 6 7
  t213 7 10 4
  t214 1 7 7
  t215 1 2 7
  t216 2 4 10
  t217 1 5 3
  t218 4 7 5
  t219 4 9 7
  t220 9 1 7
  t221 6 6 5
  t222 4 9 7
  t223 7 10 4
  t224 5 7 7
  t225 2 1 8
  t226 2 2 7
  t227 9 2 2
  t228 2 7 5
  t229 2 10 7
  t230 5 5 3
  t231 7 7 8
  t232 5 8 8
  t233 5 7 10
  t234 8 7 5
  t235 4 6 7
  t236 8 6 5
  t237 2 10 9
  t238 4 5 7
  t239 5 5 7
  t240 8 10 9
  t241 1 9 2
  t242 3 10 6
  t243 1 5 9
  t244 6 8 6
  t245 2 7 2
  t246 5 8 9
  t247 8 8 6
  t248 1 1 2
  t249 9 9 6
  t250 4 3 7
  t251 10 8 7
  t252 4 2 9
  t253 6 8 5
  t254 6 10 10
  t255 6 10 5
  t256 6 4 2
  t257 3 7 10
  t258 3 9 9
  t259 5 3 8
  t260 1 3 7
  t261 8 8 3
  t262 1 5 5
  t263 5 8 9
  t264 2 9 9
  t265 9 7 4
  t266 8 6 8
  t267 4 10 3
  t268 4 10 9
  t269 9 6 5
  t270 2 7 5
  t271 4 6 7
  t272 10 7 8
  t273 7 6 8
  t274 1 8 2
  t275 7 8 6
  t276 9 10 6
  t277 2 1 3
  t278 1 4 5
  t279 2 5 6
  t280 7 4 2
  t281 4 2 10
  t282 8 1 2
  t283 8 4 2
  t284 6 5 7
  t285 2 10 8
  t286 3 10 4
  t287 3 10 6
  t288 3 5 4
  t289 5 9 7
  t290 4 7 4
  t291 2 6 3
  t292 7 9 8
  t293 10 1 4
  t294 7 9 7
  t295 9 5 5
  t296 4 9 7
  t297 7 1 2
  t298 8 5 2
  t299 1 8 9
  t300 6 5 1
  t301 5 5 8
  t302 6 8 6
  t303 2 4 1
  t304 1 6 3
  t305 9 4 4
  t306 5 10 2
  t307 4 7 8
  t308 6 9 1
  t309 5 10 8
  t310 8 9 3
  t311 1 9 1
  t312 7 2 9
  t313 8 3 2
  t314 9 6 2
  t315 3 2 7
  t316 5 6 6
  t317 5 2 3
  t318 2 8 6
  t319 9 4 5
  t320 2 3 10
  t321 6 2 6
  t322 1 5 1
  t323 9 2 2
  t324 1 4 4
  t325 2 2 2
  t326 3 6 1
  t327 3 7 1
  t328 3 4 5
  t329 3 10 5
  t330 9 1 5
  t331 7 9 9
  t332 6 9 6
  t333 5 1 10
  t334 5 8 10
  t335 2 4 9
  t336 10 6 3
  t337 6 10 6
  t338 4 9 3
  t339 2 4 1
  t340 6 3 3
  t341 1 10 2
  t342 6 10 6
  t343 3 7 6
  t344 10 4 7
  t345 3 1 10
  t346 10 10 10
  t347 3 2 6
  t348 2 8 5
  t349 2 5 1
  t350 8 3 8
  t351 9 2 10
  t352 8 1 1
  t353 2 6 7
  t354 9 6 1
  t355 10 3 2
  t356 4 9 5
  t357 2 7 3
  t358 1 2 10
  t359 2 4 5
  t360 2 7 8
  t361 9 3 7
  t362 8 5 8
  t363 5 3 2
  t364 7 9 7
  t365 8 8 2
  t366 9 2 3
  t367 4 1 2
  t368 3 6 2
  t369 7 5 1
  t370 7 3 2
  t371 9 7 7
  t372 10 1 5
  t373 10 1 6
  t374 8 6 6
  t375 5 2 3
  t376 6 7 4
  t377 7 9 1
  t378 5 3 3
  t379 1 1 1
  t380 5 8 2
  t381 6 10 3
  t382 9 6 5
  t383 1 1 10
  t384 4 5 9
  t385 8 3 4
  t386 5 7 6
  t387 4 5 10
  t388 9 9 5
  t389 2 5 5
  t390 4 9 1
  t391 3 8 5
  t392 7 10 6
  t393 8 9 3
  t394 2 3 9
  t395 2 6 5
  t396 6 10 8
  t397 1 8 9
  t398 9 7 3
  t399 6 10 3
  t400 2 6 6
;

param S_time : s1 s2 s3 :=
  t1 3 3 3
  t2 3 2 1
  t3 1 0 3
  t4 1 0 2
  t5 0 3 1
  t6 0 2 3
  t7 3 3 0
  t8 1 1 3
  t9 3 2 0
  t10 2 2 1
  t11 3 1 1
  t12 3 1 1
  t13 2 2 3
  t14 1 3 2
  t15 3 1 3
  t16 3 2 2
  t17 3 0 0
  t18 2 2 1
  t19 1 0 3
  t20 2 0 2
  t21 1 2 2
  t22 3 2 3
  t23 1 2 3
  t24 0 2 3
  t25 1 0 2
  t26 0 2 0
  t27 0 3 0
  t28 1 3 3
  t29 3 3 3
  t30 2 3 1
  t31 2 2 3
  t32 0 0 0
  t33 1 1 1
  t34 1 1 0
  t35 1 2 0
  t36 0 1 2
  t37 2 1 0
  t38 3 0 1
  t39 2 0 3
  t40 0 3 0
  t41 1 1 2
  t42 2 3 0
  t43 3 1 2
  t44 3 2 2
  t45 1 0 0
  t46 0 1 0
  t47 2 3 3
  t48 2 0 1
  t49 1 2 2
  t50 1 0 2
  t51 2 2 0
  t52 3 1 0
  t53 3 3 1
  t54 2 0 1
  t55 0 2 3
  t56 3 2 0
  t57 0 3 2
  t58 3 0 1
  t59 1 2 0
  t60 3 1 1
  t61 2 3 3
  t62 0 3 3
  t63 0 0 1
  t64 2 3 1
  t65 3 0 2
  t66 2 0 0
  t67 1 2 1
  t68 2 1 1
  t69 3 3 2
  t70 3 3 2
  t71 0 0 3
  t72 0 2 0
  t73 3 0 1
  t74 3 1 3
  t75 0 1 1
  t76 1 2 3
  t77 0 0 0
  t78 2 1 0
  t79 2 3 0
  t80 3 1 0
  t81 2 2 1
  t82 3 1 1
  t83 0 0 1
  t84 1 1 1
  t85 3 1 2
  t86 1 3 2
  t87 3 3 3
  t88 1 0 2
  t89 0 0 2
  t90 1 0 3
  t91 3 3 2
  t92 0 1 2
  t93 1 0 3
  t94 3 0 0
  t95 1 3 2
  t96 0 1 3
  t97 3 0 1
  t98 3 2 3
  t99 2 0 3
  t100 2 0 0
  t101 0 2 0
  t102 2 3 1
  t103 3 2 0
  t104 2 3 3
  t105 1 2 2
  t106 2 3 3
  t107 3 2 2
  t108 0 1 2
  t109 0 2 3
  t110 1 2 0
  t111 3 0 3
  t112 1 1 3
  t113 0 2 3
  t114 1 2 3
  t115 1 2 2
  t116 0 1 3
  t117 2 3 2
  t118 0 0 1
  t119 2 0 2
  t120 1 1 1
  t121 3 2 2
  t122 1 0 2
  t123 3 0 2
  t124 3 2 1
  t125 0 1 1
  t126 1 2 2
  t127 2 2 0
  t128 1 2 0
  t129 0 2 3
  t130 3 2 3
  t131 2 0 1
  t132 3 1 1
  t133 2 1 0
  t134 3 2 1
  t135 0 3 3
  t136 2 2 1
  t137 3 2 0
  t138 3 1 2
  t139 2 3 0
  t140 1 2 2
  t141 0 1 2
  t142 3 2 0
  t143 3 2 2
  t144 3 0 0
  t145 3 3 1
  t146 2 3 2
  t147 3 2 0
  t148 0 2 3
  t149 1 3 3
  t150 0 0 0
  t151 3 3 3
  t152 3 1 1
  t153 3 3 1
  t154 2 2 3
  t155 2 2 2
  t156 3 3 2
  t157 3 2 2
  t158 0 3 3
  t159 2 2 0
  t160 1 0 1
  t161 0 2 0
  t162 1 3 1
  t163 2 0 1
  t164 1 1 3
  t165 2 0 0
  t166 3 3 3
  t167 0 1 2
  t168 2 1 3
  t169 2 3 1
  t170 2 0 3
  t171 2 2 0
  t172 1 0 2
  t173 2 2 1
  t174 3 3 2
  t175 3 1 0
  t176 2 0 1
  t177 1 2 3
  t178 3 3 3
  t179 3 0 3
  t180 3 0 0
  t181 2 0 3
  t182 3 1 2
  t183 3 0 1
  t184 1 3 1
  t185 0 3 3
  t186 1 3 1
  t187 0 3 0
  t188 0 0 0
  t189 3 1 1
  t190 2 2 2
  t191 1 1 2
  t192 1 3 2
  t193 2 3 2
  t194 3 1 1
  t195 3 1 1
  t196 2 3 0
  t197 0 3 0
  t198 1 1 2
  t199 1 3 1
  t200 2 3 2
  t201 2 3 0
  t202 1 2 0
  t203 1 2 3
  t204 1 1 1
  t205 2 3 3
  t206 1 3 0
  t207 0 0 1
  t208 1 1 3
  t209 3 0 3
  t210 2 2 3
  t211 0 1 1
  t212 2 2 0
  t213 3 1 2
  t214 0 3 3
  t215 1 3 2
  t216 0 1 3
  t217 0 0 2
  t218 1 0 1
  t219 3 2 1
  t220 2 0 1
  t221 3 0 3
  t222 2 3 1
  t223 0 2 0
  t224 1 1 2
  t225 0 2 2
  t226 1 1 3
  t227 3 0 2
  t228 2 0 3
  t229 1 1 1
  t230 2 3 0
  t231 2 2 0
  t232 1 1 0
  t233 0 2 3
  t234 2 1 2
  t235 3 1 2
  t236 1 3 3
  t237 1 1 0
  t238 3 0 3
  t239 1 1 3
  t240 3 3 3
  t241 2 0 1
  t242 0 3 3
  t243 0 1 1
  t244 3 1 0
  t245 2 0 1
  t246 2 1 3
  t247 0 3 0
  t248 0 2 1
  t249 1 1 3
  t250 3 1 3
  t251 1 3 0
  t252 2 0 1
  t253 1 0 3
  t254 3 3 0
  t255 3 1 0
  t256 0 2 1
  t257 3 1 3
  t258 3 1 1
  t259 1 2 0
  t260 3 1 3
  t261 3 3 0
  t262 1 0 1
  t263 1 3 0
  t264 2 2 0
  t265 1 0 2
  t266 2 0 0
  t267 2 3 1
  t268 0 2 2
  t269 1 2 2
  t270 1 0 1
  t271 1 1 3
  t272 2 3 0
  t273 2 3 2
  t274 0 2 3
  t275 1 2 2
  t276 1 3 0
  t277 3 0 3
  t278 3 1 1
  t279 2 0 1
  t280 2 3 0
  t281 3 1 1
  t282 0 2 3
  t283 0 3 0
  t284 2 1 1
  t285 0 1 2
  t286 3 3 0
  t287 0 3 3
  t288 1 0 2
  t289 1 1 2
  t290 3 0 3
  t291 0 2 3
  t292 2 1 0
  t293 0 2 0
  t294 2 3 3
  t295 1 0 0
  t296 1 2 0
  t297 1 1 3
  t298 0 1 0
  t299 1 2 2
  t300 1 0 2
  t301 0 0 3
  t302 0 1 1
  t303 0 0 0
  t304 3 3 1
  t305 3 2 3
  t306 0 2 0
  t307 0 0 2
  t308 0 3 2
  t309 2 1 2
  t310 1 1 0
  t311 1 2 2
  t312 2 1 1
  t313 0 2 0
  t314 3 3 0
  t315 3 0 1
  t316 2 3 2
  t317 1 1 0
  t318 1 3 3
  t319 2 3 3
  t320 0 2 0
  t321 1 1 3
  t322 2 1 3
  t323 1 3 1
  t324 0 1 3
  t325 2 0 1
  t326 0 0 3
  t327 3 3 3
  t328 2 1 2
  t329 0 1 3
  t330 3 0 3
  t331 1 1 0
  t332 3 3 2
  t333 1 2 1
  t334 0 2 1
  t335 1 2 0
  t336 3 1 1
  t337 2 0 1
  t338 3 2 3
  t339 0 1 3
  t340 1 2 2
  t341 1 1 2
  t342 3 0 2
  t343 1 3 1
  t344 2 1 2
  t345 1 3 0
  t346 2 1 0
  t347 2 1 2
  t348 2 0 1
  t349 2 0 0
  t350 3 3 3
  t351 3 3 1
  t352 0 2 2
  t353 0 1 1
  t354 0 3 3
  t355 3 0 2
  t356 3 2 2
  t357 0 3 0
  t358 3 2 3
  t359 0 1 0
  t360 2 3 2
  t361 3 2 2
  t362 0 3 2
  t363 0 0 2
  t364 1 0 3
  t365 1 2 3
  t366 1 3 1
  t367 1 3 3
  t368 2 0 3
  t369 2 3 3
  t370 1 0 0
  t371 2 2 3
  t372 3 1 3
  t373 3 3 1
  t374 2 0 2
  t375 3 1 2
  t376 2 0 3
  t377 3 2 1
  t378 3 0 1
  t379 1 3 2
  t380 2 3 0
  t381 3 3 3
  t382 2 1 0
  t383 3 1 1
  t384 1 3 0
  t385 1 0 2
  t386 2 3 3
  t387 3 3 0
  t388 2 2 0
  t389 2 2 2
  t390 1 1 3
  t391 0 2 3
  t392 0 1 1
  t393 2 2 1
  t394 3 2 1
  t395 1 1 3
  t396 2 2 0
  t397 0 1 0
  t398 2 0 1
  t399 3 3 2
  t400 3 1 0
;

#=========================
# Resource Demands / Capacity
#=========================
param d : r1 r2 :=
  t1 1 1
  t2 3 2
  t3 2 2
  t4 1 1
  t5 4 1
  t6 1 1
  t7 2 2
  t8 1 2
  t9 4 2
  t10 4 3
  t11 1 2
  t12 4 3
  t13 3 2
  t14 2 3
  t15 1 1
  t16 4 1
  t17 3 3
  t18 3 1
  t19 4 1
  t20 4 1
  t21 3 3
  t22 2 1
  t23 1 2
  t24 3 1
  t25 2 1
  t26 4 3
  t27 4 3
  t28 2 3
  t29 3 2
  t30 3 1
  t31 2 2
  t32 2 4
  t33 4 3
  t34 2 3
  t35 1 2
  t36 1 3
  t37 4 3
  t38 1 2
  t39 3 2
  t40 4 4
  t41 4 2
  t42 3 2
  t43 2 3
  t44 4 4
  t45 3 2
  t46 2 4
  t47 1 1
  t48 1 2
  t49 2 4
  t50 1 4
  t51 4 4
  t52 3 1
  t53 1 3
  t54 3 1
  t55 3 4
  t56 2 4
  t57 1 3
  t58 2 1
  t59 3 2
  t60 2 3
  t61 2 1
  t62 3 4
  t63 1 1
  t64 3 3
  t65 2 1
  t66 2 1
  t67 1 4
  t68 1 2
  t69 2 4
  t70 2 3
  t71 4 2
  t72 2 3
  t73 4 3
  t74 4 4
  t75 1 2
  t76 2 1
  t77 3 1
  t78 2 2
  t79 1 1
  t80 1 2
  t81 1 1
  t82 3 1
  t83 2 3
  t84 4 2
  t85 2 4
  t86 2 4
  t87 4 2
  t88 1 1
  t89 4 3
  t90 4 4
  t91 4 1
  t92 1 1
  t93 4 3
  t94 1 2
  t95 2 2
  t96 4 2
  t97 4 2
  t98 3 4
  t99 2 1
  t100 4 1
  t101 1 1
  t102 1 2
  t103 2 4
  t104 4 4
  t105 2 4
  t106 1 2
  t107 4 1
  t108 4 3
  t109 4 3
  t110 4 4
  t111 2 2
  t112 3 2
  t113 1 1
  t114 3 1
  t115 1 4
  t116 2 1
  t117 1 2
  t118 1 1
  t119 2 4
  t120 1 2
  t121 1 1
  t122 4 3
  t123 3 2
  t124 3 2
  t125 3 4
  t126 2 3
  t127 4 3
  t128 1 1
  t129 4 1
  t130 1 2
  t131 3 2
  t132 3 1
  t133 2 3
  t134 3 2
  t135 4 3
  t136 1 3
  t137 1 2
  t138 3 1
  t139 1 2
  t140 3 3
  t141 2 3
  t142 2 3
  t143 4 3
  t144 1 1
  t145 4 3
  t146 1 1
  t147 3 2
  t148 3 2
  t149 4 4
  t150 1 1
  t151 1 2
  t152 1 3
  t153 2 4
  t154 2 1
  t155 3 3
  t156 1 3
  t157 2 2
  t158 1 3
  t159 4 2
  t160 2 2
  t161 2 4
  t162 1 2
  t163 3 4
  t164 2 3
  t165 2 1
  t166 4 1
  t167 4 2
  t168 2 4
  t169 3 3
  t170 2 2
  t171 1 2
  t172 4 3
  t173 3 1
  t174 3 3
  t175 4 3
  t176 1 1
  t177 3 2
  t178 3 1
  t179 1 4
  t180 3 3
  t181 4 1
  t182 4 2
  t183 3 1
  t184 4 1
  t185 2 3
  t186 4 1
  t187 3 3
  t188 1 3
  t189 3 4
  t190 3 4
  t191 3 2
  t192 2 4
  t193 4 2
  t194 3 4
  t195 1 3
  t196 3 2
  t197 4 3
  t198 4 4
  t199 4 2
  t200 4 2
  t201 1 3
  t202 3 1
  t203 2 3
  t204 2 2
  t205 2 1
  t206 1 2
  t207 4 1
  t208 4 4
  t209 2 4
  t210 4 4
  t211 2 2
  t212 1 1
  t213 4 2
  t214 2 4
  t215 1 2
  t216 1 4
  t217 2 4
  t218 3 4
  t219 4 4
  t220 2 4
  t221 4 3
  t222 2 3
  t223 4 2
  t224 3 4
  t225 1 3
  t226 2 3
  t227 3 3
  t228 1 2
  t229 2 2
  t230 4 2
  t231 2 1
  t232 4 4
  t233 3 4
  t234 4 1
  t235 2 4
  t236 4 1
  t237 4 4
  t238 1 3
  t239 3 4
  t240 4 2
  t241 4 2
  t242 3 4
  t243 4 1
  t244 4 3
  t245 4 2
  t246 4 2
  t247 1 4
  t248 1 1
  t249 4 2
  t250 4 2
  t251 1 3
  t252 4 3
  t253 2 4
  t254 3 3
  t255 4 3
  t256 4 3
  t257 1 4
  t258 1 1
  t259 3 2
  t260 1 1
  t261 1 2
  t262 2 1
  t263 2 2
  t264 2 4
  t265 1 2
  t266 4 3
  t267 3 2
  t268 1 2
  t269 3 1
  t270 1 3
  t271 4 4
  t272 2 1
  t273 2 1
  t274 3 1
  t275 1 3
  t276 4 3
  t277 1 3
  t278 1 4
  t279 4 1
  t280 4 3
  t281 4 2
  t282 4 2
  t283 3 4
  t284 4 4
  t285 3 3
  t286 2 1
  t287 3 4
  t288 2 4
  t289 4 3
  t290 1 4
  t291 3 2
  t292 4 2
  t293 3 3
  t294 3 3
  t295 3 1
  t296 2 1
  t297 2 4
  t298 4 2
  t299 4 4
  t300 4 1
  t301 1 3
  t302 2 4
  t303 2 3
  t304 3 4
  t305 3 4
  t306 3 3
  t307 4 3
  t308 3 3
  t309 2 1
  t310 2 3
  t311 1 2
  t312 2 2
  t313 4 3
  t314 3 1
  t315 2 3
  t316 2 3
  t317 2 3
  t318 1 2
  t319 3 1
  t320 1 3
  t321 2 4
  t322 1 1
  t323 3 4
  t324 4 4
  t325 3 2
  t326 1 3
  t327 4 1
  t328 1 4
  t329 4 1
  t330 1 2
  t331 2 3
  t332 1 2
  t333 1 4
  t334 2 4
  t335 4 4
  t336 3 4
  t337 3 1
  t338 1 2
  t339 2 3
  t340 1 2
  t341 2 2
  t342 1 2
  t343 1 4
  t344 4 4
  t345 3 1
  t346 2 3
  t347 3 4
  t348 1 2
  t349 3 2
  t350 4 1
  t351 2 2
  t352 3 2
  t353 1 1
  t354 2 3
  t355 3 4
  t356 1 4
  t357 3 4
  t358 3 4
  t359 4 1
  t360 1 4
  t361 3 3
  t362 1 1
  t363 2 1
  t364 3 1
  t365 2 4
  t366 4 3
  t367 2 4
  t368 4 1
  t369 4 3
  t370 4 3
  t371 3 1
  t372 2 3
  t373 4 4
  t374 3 4
  t375 1 4
  t376 1 3
  t377 3 3
  t378 1 4
  t379 1 4
  t380 4 1
  t381 2 3
  t382 4 4
  t383 1 2
  t384 3 2
  t385 3 4
  t386 4 1
  t387 1 2
  t388 2 3
  t389 1 4
  t390 1 2
  t391 1 4
  t392 1 2
  t393 4 3
  t394 3 4
  t395 4 4
  t396 2 4
  t397 2 4
  t398 2 2
  t399 1 3
  t400 4 3
;

param r : r1 r2 :=
  s1 10 8
  s2 6 10
  s3 4 6
;

#=========================
# Server Activation / Energy
#=========================
param e :=
  s1 2
  s2 2
  s3 1
;

param M := 999;

#=========================
# Objective Coefficients
#=========================
param w :=
  t1 3
  t2 5
  t3 4
  t4 1
  t5 4
  t6 1
  t7 5
  t8 1
  t9 3
  t10 2
  t11 1
  t12 2
  t13 3
  t14 4
