data;

#=========================
# Sets
#=========================
set T := t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 t20 t21 t22 t23 t24 t25 t26 t27 t28 t29 t30 t31 t32 t33 t34 t35 t36 t37 t38 t39 t40 t41 t42 t43 t44 t45 t46 t47 t48 t49 t50 t51 t52 t53 t54 t55 t56 t57 t58 t59 t60 t61 t62 t63 t64 t65 t66 t67 t68 t69 t70 t71 t72 t73 t74 t75 t76 t77 t78 t79 t80 t81 t82 t83 t84 t85 t86 t87 t88 t89 t90 t91 t92 t93 t94 t95 t96 t97 t98 t99 t100 t101 t102 t103 t104 t105 t106 t107 t108 t109 t110 t111 t112 t113 t114 t115 t116 t117 t118 t119 t120 t121 t122 t123 t124 t125 t126 t127 t128 t129 t130 t131 t132 t133 t134 t135 t136 t137 t138 t139 t140 t141 t142 t143 t144 t145 t146 t147 t148 t149 t150 t151 t152 t153 t154 t155 t156 t157 t158 t159 t160 t161 t162 t163 t164 t165 t166 t167 t168 t169 t170 t171 t172 t173 t174 t175 t176 t177 t178 t179 t180 t181 t182 t183 t184 t185 t186 t187 t188 t189 t190 t191 t192 t193 t194 t195 t196 t197 t198 t199 t200 t201 t202 t203 t204 t205 t206 t207 t208 t209 t210 t211 t212 t213 t214 t215 t216 t217 t218 t219 t220 t221 t222 t223 t224 t225 t226 t227 t228 t229 t230 t231 t232 t233 t234 t235 t236 t237 t238 t239 t240 t241 t242 t243 t244 t245 t246 t247 t248 t249 t250 t251 t252 t253 t254 t255 t256 t257 t258 t259 t260 t261 t262 t263 t264 t265 t266 t267 t268 t269 t270 t271 t272 t273 t274 t275 t276 t277 t278 t279 t280 t281 t282 t283 t284 t285 t286 t287 t288 t289 t290 t291 t292 t293 t294 t295 t296 t297 t298 t299 t300 t301 t302 t303 t304 t305 t306 t307 t308 t309 t310 t311 t312 t313 t314 t315 t316 t317 t318 t319 t320 t321 t322 t323 t324 t325 t326 t327 t328 t329 t330 t331 t332 t333 t334 t335 t336 t337 t338 t339 t340 t341 t342 t343 t344 t345 t346 t347 t348 t349 t350 t351 t352 t353 t354 t355 t356 t357 t358 t359 t360 t361 t362 t363 t364 t365 t366 t367 t368 t369 t370 t371 t372 t373 t374 t375 t376 t377 t378 t379 t380 t381 t382 t383 t384 t385 t386 t387 t388 t389 t390 t391 t392 t393 t394 t395 t396 t397 t398 t399 t400 t401 t402 t403 t404 t405 t406 t407 t408 t409 t410 t411 t412 t413 t414 t415 t416 t417 t418 t419 t420 t421 t422 t423 t424 t425 t426 t427 t428 t429 t430 t431 t432 t433 t434 t435 t436 t437 t438 t439 t440 t441 t442 t443 t444 t445 t446 t447 t448 t449 t450 t451 t452 t453 t454 t455 t456 t457 t458 t459 t460 t461 t462 t463 t464 t465 t466 t467 t468 t469 t470 t471 t472 t473 t474 t475 t476 t477 t478 t479 t480 t481 t482 t483 t484 t485 t486 t487 t488 t489 t490 t491 t492 t493 t494 t495 t496 t497 t498 t499 t500 t501 t502 t503 t504 t505 t506 t507 t508 t509 t510 t511 t512 t513 t514 t515 t516 t517 t518 t519 t520 t521 t522 t523 t524 t525 t526 t527 t528 t529 t530 t531 t532 t533 t534 t535 t536 t537 t538 t539 t540 t541 t542 t543 t544 t545 t546 t547 t548 t549 t550 t551 t552 t553 t554 t555 t556 t557 t558 t559 t560 t561 t562 t563 t564 t565 t566 t567 t568 t569 t570 t571 t572 t573 t574 t575 t576 t577 t578 t579 t580 t581 t582 t583 t584 t585 t586 t587 t588 t589 t590 t591 t592 t593 t594 t595 t596 t597 t598 t599 t600 t601 t602 t603 t604 t605 t606 t607 t608 t609 t610 t611 t612 t613 t614 t615 t616 t617 t618 t619 t620 t621 t622 t623 t624 t625 t626 t627 t628 t629 t630 t631 t632 t633 t634 t635 t636 t637 t638 t639 t640 t641 t642 t643 t644 t645 t646 t647 t648 t649 t650 t651 t652 t653 t654 t655 t656 t657 t658 t659 t660 t661 t662 t663 t664 t665 t666 t667 t668 t669 t670 t671 t672 t673 t674 t675 t676 t677 t678 t679 t680 t681 t682 t683 t684 t685 t686 t687 t688 t689 t690 t691 t692 t693 t694 t695 t696 t697 t698 t699 t700 t701 t702 t703 t704 t705 t706 t707 t708 t709 t710 t711 t712 t713 t714 t715 t716 t717 t718 t719 t720 t721 t722 t723 t724 t725 t726 t727 t728 t729 t730 t731 t732 t733 t734 t735 t736 t737 t738 t739 t740 t741 t742 t743 t744 t745 t746 t747 t748 t749 t750 t751 t752 t753 t754 t755 t756 t757 t758 t759 t760 t761 t762 t763 t764 t765 t766 t767 t768 t769 t770 t771 t772 t773 t774 t775 t776 t777 t778 t779 t780 t781 t782 t783 t784 t785 t786 t787 t788 t789 t790 t791 t792 t793 t794 t795 t796 t797 t798 t799 t800 t801 t802 t803 t804 t805 t806 t807 t808 t809 t810 t811 t812 t813 t814 t815 t816 t817 t818 t819 t820 t821 t822 t823 t824 t825 t826 t827 t828 t829 t830 t831 t832 t833 t834 t835 t836 t837 t838 t839 t840 t841 t842 t843 t844 t845 t846 t847 t848 t849 t850 t851 t852 t853 t854 t855 t856 t857 t858 t859 t860 t861 t862 t863 t864 t865 t866 t867 t868 t869 t870 t871 t872 t873 t874 t875 t876 t877 t878 t879 t880 t881 t882 t883 t884 t885 t886 t887 t888 t889 t890 t891 t892 t893 t894 t895 t896 t897 t898 t899 t900;
set S := s1 s2 s3;
#param N := 127;
param N := 157;
  t271 8 8 6
  t272 1 7 1
  t273 10 9 8
  t274 1 8 9
  t275 8 2 1
  t276 5 2 3
  t277 7 5 4
  t278 4 4 2
  t279 10 8 10
  t280 1 9 10
  t281 3 3 7
  t282 7 10 5
  t283 5 3 7
  t284 6 4 10
  t285 3 9 2
  t286 8 9 7
  t287 2 7 1
  t288 5 5 3
  t289 4 6 2
  t290 7 9 1
  t291 7 9 1
  t292 10 4 10
  t293 5 3 3
  t294 2 1 5
  t295 3 1 8
  t296 3 10 10
  t297 10 2 9
  t298 9 9 7
  t299 6 4 6
  t300 4 9 2
  t301 4 1 7
  t302 5 1 9
  t303 1 4 9
  t304 3 2 4
  t305 4 2 1
  t306 1 2 3
  t307 2 5 7
  t308 7 1 2
  t309 2 2 9
  t310 5 5 7
  t311 8 9 3
  t312 5 5 1
  t313 1 10 9
  t314 4 4 9
  t315 3 10 4
  t316 10 9 9
  t317 2 2 10
  t318 6 4 5
  t319 6 8 10
  t320 3 6 3
  t321 4 7 6
  t322 8 8 5
  t323 2 10 5
  t324 4 2 1
  t325 10 10 1
  t326 9 3 7
  t327 5 8 7
  t328 1 10 9
  t329 3 10 8
  t330 4 4 5
  t331 1 9 7
  t332 1 6 9
  t333 10 7 6
  t334 5 4 6
  t335 8 9 8
  t336 2 4 3
  t337 10 4 6
  t338 8 4 7
  t339 1 10 3
  t340 3 3 3
  t341 10 5 4
  t342 8 3 7
  t343 3 3 8
  t344 7 3 1
  t345 9 3 3
  t346 10 9 2
  t347 10 7 6
  t348 7 8 6
  t349 3 8 2
  t350 9 5 1
  t351 9 9 7
  t352 7 2 7
  t353 9 10 10
  t354 4 9 3
  t355 9 5 10
  t356 3 4 3
  t357 9 6 3
  t358 2 8 2
  t359 4 2 7
  t360 9 10 3
  t361 1 9 4
  t362 9 10 1
  t363 1 2 7
  t364 7 9 2
  t365 5 6 4
  t366 7 5 7
  t367 2 6 9
  t368 10 8 10
  t369 6 8 8
  t370 2 4 6
  t371 9 5 5
  t372 6 9 8
  t373 4 3 8
  t374 4 4 4
  t375 6 2 2
  t376 1 8 10
  t377 10 8 9
  t378 4 1 8
  t379 6 3 2
  t380 1 4 10
  t381 6 3 4
  t382 10 6 8
  t383 7 6 5
  t384 10 10 2
  t385 9 7 3
  t386 1 7 3
  t387 5 9 7
  t388 1 5 2
  t389 5 6 6
  t390 2 10 10
  t391 6 9 8
  t392 10 8 3
  t393 10 2 3
  t394 6 5 10
  t395 8 10 7
  t396 1 4 2
  t397 7 2 8
  t398 7 2 10
  t399 7 4 5
  t400 3 1 6
  t401 8 9 3
  t402 10 10 9
  t403 8 2 5
  t404 5 5 1
  t405 5 9 8
  t406 1 5 1
  t407 7 7 3
  t408 4 2 4
  t409 9 7 2
  t410 5 8 5
  t411 6 3 9
  t412 2 5 8
  t413 2 1 4
  t414 5 6 1
  t415 3 5 2
  t416 4 7 2
  t417 8 1 8
  t418 4 7 6
  t419 9 5 5
  t420 1 2 7
  t421 3 10 7
  t422 1 10 6
  t423 3 2 1
  t424 3 3 4
  t425 6 4 7
  t426 5 8 9
  t427 8 10 9
  t428 8 10 2
  t429 5 9 8
  t430 7 1 10
  t431 2 4 9
  t432 5 7 2
  t433 2 3 1
  t434 8 2 10
  t435 9 1 4
  t436 4 2 1
  t437 7 1 9
  t438 5 4 2
  t439 7 4 10
  t440 9 2 8
  t441 3 9 9
  t442 9 6 9
  t443 7 6 10
  t444 9 6 8
  t445 1 10 9
  t446 1 4 6
  t447 9 2 8
  t448 3 6 4
  t449 2 10 2
  t450 3 10 10
  t451 10 2 6
  t452 7 4 7
  t453 9 6 6
  t454 1 8 4
  t455 7 3 2
  t456 1 5 7
  t457 3 9 8
  t458 4 4 5
  t459 10 2 7
  t460 4 6 5
  t461 10 10 8
  t462 4 3 2
  t463 10 5 6
  t464 8 1 4
  t465 9 9 10
  t466 7 5 1
  t467 10 1 1
  t468 5 2 5
  t469 7 6 10
  t470 4 9 1
  t471 5 8 3
  t472 6 5 9
  t473 5 1 4
  t474 7 2 9
  t475 4 7 10
  t476 9 4 10
  t477 5 7 10
  t478 2 3 3
  t479 7 5 5
  t480 2 3 10
  t481 10 10 4
  t482 2 3 6
  t483 8 3 4
  t484 7 5 4
  t485 2 8 6
  t486 7 1 6
  t487 10 9 8
  t488 4 1 9
  t489 5 7 5
  t490 7 10 9
  t491 8 9 3
  t492 7 8 3
  t493 4 2 6
  t494 2 8 2
  t495 10 7 1
  t496 10 3 3
  t497 5 8 3
  t498 4 10 1
  t499 8 10 4
  t500 8 7 2
  t501 9 10 1
  t502 1 1 1
  t503 2 2 3
  t504 10 8 1
  t505 6 7 7
  t506 8 2 6
  t507 4 10 2
  t508 10 7 5
  t509 10 9 8
  t510 4 4 2
  t511 2 10 7
  t512 6 1 5
  t513 5 9 1
  t514 6 10 3
  t515 6 8 3
  t516 8 8 1
  t517 6 4 6
  t518 5 6 9
  t519 10 3 5
  t520 5 2 4
  t521 5 9 3
  t522 1 2 9
  t523 9 4 8
  t524 3 9 4
  t525 7 1 1
  t526 8 2 1
  t527 6 4 5
  t528 2 3 5
  t529 10 4 9
  t530 3 10 3
  t531 10 9 1
  t532 8 2 1
  t533 7 10 10
  t534 6 9 8
  t535 8 8 8
  t536 4 10 6
  t537 6 8 1
  t538 2 8 3
  t539 10 9 7
  t540 9 5 7
  t541 10 9 8
  t542 6 10 7
  t543 4 2 2
  t544 9 8 5
  t545 10 10 6
  t546 2 3 3
  t547 9 7 4
  t548 5 7 2
  t549 9 3 1
  t550 1 9 2
  t551 4 10 6
  t552 7 9 3
  t553 4 6 3
  t554 3 2 3
  t555 3 3 8
  t556 3 9 9
  t557 6 3 10
  t558 8 9 7
  t559 1 6 10
  t560 3 8 9
  t561 8 9 10
  t562 9 8 9
  t563 6 6 5
  t564 10 10 1
  t565 3 5 5
  t566 3 5 3
  t567 5 2 10
  t568 6 5 8
  t569 1 2 10
  t570 7 4 3
  t571 6 5 1
  t572 7 5 9
  t573 7 5 9
  t574 5 7 9
  t575 9 7 6
  t576 2 10 8
  t577 4 3 9
  t578 2 7 9
  t579 6 5 4
  t580 10 1 10
  t581 2 7 2
  t582 5 2 5
  t583 5 2 1
  t584 6 5 3
  t585 8 10 3
  t586 3 4 8
  t587 1 2 8
  t588 3 1 5
  t589 7 9 8
  t590 2 1 8
  t591 9 6 7
  t592 6 2 5
  t593 9 7 5
  t594 6 2 4
  t595 4 10 8
  t596 9 8 1
  t597 1 1 2
  t598 8 10 2
  t599 8 8 4
  t600 3 5 8
  t601 2 2 10
  t602 4 6 6
  t603 9 6 1
  t604 2 5 7
  t605 9 8 10
  t606 2 3 8
  t607 1 2 7
  t608 4 5 7
  t609 10 10 8
  t610 6 1 4
  t611 2 9 8
  t612 1 2 8
  t613 3 1 5
  t614 5 10 1
  t615 9 3 8
  t616 4 10 7
  t617 4 6 2
  t618 4 4 8
  t619 7 4 3
  t620 3 4 5
  t621 3 10 5
  t622 8 7 6
  t623 10 10 10
  t624 7 4 8
  t625 7 4 7
  t626 3 7 1
  t627 1 9 8
  t628 8 2 7
  t629 6 4 1
  t630 3 10 8
  t631 7 6 1
  t632 6 5 5
  t633 10 1 1
  t634 6 10 6
  t635 9 9 3
  t636 9 8 4
  t637 5 5 2
  t638 8 9 8
  t639 10 2 8
  t640 7 5 2
  t641 2 8 4
  t642 7 8 7
  t643 5 2 4
  t644 10 6 10
  t645 5 5 5
  t646 6 1 6
  t647 3 9 3
  t648 3 2 6
  t649 5 3 9
  t650 6 6 9
  t651 5 1 8
  t652 6 1 5
  t653 10 10 6
  t654 1 9 5
  t655 10 8 2
  t656 10 10 5
  t657 2 2 4
  t658 10 6 3
  t659 7 1 6
  t660 8 4 7
  t661 3 7 10
  t662 4 8 2
  t663 1 5 3
  t664 3 3 5
  t665 5 8 4
  t666 3 5 2
  t667 3 4 2
  t668 2 10 10
  t669 8 6 5
  t670 1 6 3
  t671 1 6 6
  t672 5 9 3
  t673 3 6 5
  t674 9 3 3
  t675 8 6 2
  t676 9 4 7
  t677 2 1 6
  t678 3 10 3
  t679 2 3 4
  t680 4 2 2
  t681 8 1 2
  t682 10 8 5
  t683 5 2 10
  t684 4 6 2
  t685 10 6 9
  t686 10 2 9
  t687 5 9 2
  t688 8 10 8
  t689 6 7 9
  t690 2 2 2
  t691 6 9 2
  t692 2 5 10
  t693 4 5 4
  t694 6 1 2
  t695 9 2 7
  t696 2 2 4
  t697 10 2 7
  t698 10 7 8
  t699 9 3 2
  t700 8 4 1
  t701 2 1 7
  t702 5 2 8
  t703 8 9 9
  t704 9 1 2
  t705 6 8 1
  t706 9 3 7
  t707 7 2 9
  t708 9 9 7
  t709 10 10 5
  t710 1 3 6
  t711 7 7 6
  t712 1 4 5
  t713 5 6 1
  t714 8 10 5
  t715 10 6 10
  t716 10 8 4
  t717 9 3 6
  t718 8 9 5
  t719 5 4 10
  t720 6 2 7
  t721 2 9 7
  t722 7 5 9
  t723 9 10 4
  t724 9 10 9
  t725 8 4 5
  t726 6 4 5
  t727 5 7 2
  t728 1 5 8
  t729 1 3 3
  t730 5 1 1
  t731 6 2 6
  t732 3 2 9
  t733 2 10 6
  t734 7 7 3
  t735 4 8 5
  t736 9 2 9
  t737 4 3 8
  t738 1 1 5
  t739 6 9 8
  t740 7 5 4
  t741 3 6 1
  t742 8 7 7
  t743 5 6 10
  t744 1 3 3
  t745 4 6 2
  t746 9 10 6
  t747 3 3 5
  t748 7 3 7
  t749 1 2 4
  t750 1 10 10
  t751 2 3 1
  t752 8 4 4
  t753 8 3 4
  t754 4 3 3
  t755 5 10 4
  t756 8 1 3
  t757 4 7 2
  t758 1 6 8
  t759 10 1 9
  t760 7 3 10
  t761 3 6 3
  t762 9 3 2
  t763 3 5 7
  t764 10 9 7
  t765 8 9 1
  t766 1 3 8
  t767 8 2 1
  t768 9 8 2
  t769 6 4 3
  t770 5 10 9
  t771 2 8 6
  t772 2 6 6
  t773 2 8 5
  t774 1 6 4
  t775 6 2 2
  t776 3 7 1
  t777 7 5 2
  t778 7 10 6
  t779 9 8 7
  t780 10 2 6
  t781 7 1 8
  t782 8 5 7
  t783 5 3 4
  t784 10 9 1
  t785 7 2 10
  t786 5 9 2
  t787 3 1 7
  t788 10 8 6
  t789 3 10 2
  t790 1 7 1
  t791 8 10 5
  t792 5 3 1
  t793 1 1 8
  t794 7 2 8
  t795 7 2 3
  t796 8 8 4
  t797 7 6 2
  t798 8 1 7
  t799 10 4 9
  t800 10 9 5
  t801 2 10 8
  t802 3 4 6
  t803 9 10 10
  t804 5 7 8
  t805 4 2 3
  t806 3 2 8
  t807 4 1 5
  t808 3 2 7
  t809 4 9 8
  t810 6 9 3
  t811 8 2 10
  t812 1 3 4
  t813 5 9 2
  t814 6 2 8
  t815 4 6 9
  t816 5 7 4
  t817 7 3 7
  t818 9 1 3
  t819 2 6 7
  t820 1 1 10
  t821 5 7 6
  t822 5 7 4
  t823 7 5 1
  t824 3 4 9
  t825 6 1 9
  t826 5 9 1
  t827 9 2 2
  t828 10 8 4
  t829 5 10 7
  t830 6 6 2
  t831 7 2 7
  t832 4 2 9
  t833 9 5 7
  t834 7 3 8
  t835 9 4 8
  t836 9 2 2
  t837 10 1 2
  t838 6 5 1
  t839 10 1 5
  t840 8 2 2
  t841 8 10 6
  t842 10 3 8
  t843 6 10 7
  t844 6 8 2
  t845 10 9 9
