data;

#=========================
# Sets
#=========================
set T := t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 t20 t21 t22 t23 t24 t25 t26 t27 t28 t29 t30 t31 t32 t33 t34 t35 t36 t37 t38 t39 t40 t41 t42 t43 t44 t45 t46 t47 t48 t49 t50 t51 t52 t53 t54 t55 t56 t57 t58 t59 t60 t61 t62 t63 t64 t65 t66 t67 t68 t69 t70 t71 t72 t73 t74 t75 t76 t77 t78 t79 t80 t81 t82 t83 t84 t85 t86 t87 t88 t89 t90 t91 t92 t93 t94 t95 t96 t97 t98 t99 t100 t101 t102 t103 t104 t105 t106 t107 t108 t109 t110 t111 t112 t113 t114 t115 t116 t117 t118 t119 t120 t121 t122 t123 t124 t125 t126 t127 t128 t129 t130 t131 t132 t133 t134 t135 t136 t137 t138 t139 t140 t141 t142 t143 t144 t145 t146 t147 t148 t149 t150 t151 t152 t153 t154 t155 t156 t157 t158 t159 t160 t161 t162 t163 t164 t165 t166 t167 t168 t169 t170 t171 t172 t173 t174 t175 t176 t177 t178 t179 t180 t181 t182 t183 t184 t185 t186 t187 t188 t189 t190 t191 t192 t193 t194 t195 t196 t197 t198 t199 t200;
set S := s1 s2 s3;
param N := 23;
  t191 9 3 10
  t192 3 3 10
  t193 2 10 4
  t194 1 9 5
  t195 7 8 1
  t196 7 8 6
  t197 6 7 6
  t198 4 2 8
  t199 2 5 10
  t200 3 10 4
;

param S_time : s1 s2 s3 :=
  t1 2 1 1
  t2 0 1 0
  t3 1 3 1
  t4 0 1 3
  t5 1 3 3
  t6 2 3 3
  t7 3 1 3
  t8 3 2 2
  t9 0 1 3
  t10 0 3 3
  t11 1 3 0
  t12 3 2 3
  t13 1 1 3
  t14 3 3 3
  t15 0 0 3
  t16 1 2 2
  t17 2 3 3
  t18 3 0 1
  t19 0 1 1
  t20 3 1 2
  t21 0 2 0
  t22 3 1 1
  t23 0 0 3
  t24 2 3 0
  t25 3 3 2
  t26 3 3 2
  t27 0 3 3
  t28 3 0 2
  t29 1 2 2
  t30 0 1 1
  t31 1 3 0
  t32 1 1 2
  t33 2 2 3
  t34 2 0 2
  t35 1 1 2
  t36 2 1 1
  t37 2 1 0
  t38 2 3 0
  t39 3 3 1
  t40 3 0 3
  t41 0 1 2
  t42 0 3 1
  t43 3 2 3
  t44 0 0 1
  t45 1 1 0
  t46 3 3 0
  t47 2 0 2
  t48 3 1 2
  t49 0 2 2
  t50 3 3 3
  t51 0 2 2
  t52 1 0 0
  t53 3 1 3
  t54 3 3 2
  t55 2 3 3
  t56 3 2 2
  t57 0 3 0
  t58 2 3 0
  t59 1 3 0
  t60 1 2 0
  t61 0 0 0
  t62 2 2 3
  t63 3 1 1
  t64 1 2 2
  t65 0 2 3
  t66 3 2 3
  t67 1 3 3
  t68 3 3 3
  t69 2 3 3
  t70 3 0 2
  t71 3 2 3
  t72 0 0 2
  t73 3 0 1
  t74 0 0 2
  t75 1 3 1
  t76 0 3 1
  t77 1 3 3
  t78 3 1 3
  t79 2 2 2
  t80 3 1 2
  t81 2 3 0
  t82 3 1 2
  t83 2 0 2
  t84 2 0 2
  t85 1 2 2
  t86 3 2 3
  t87 1 2 3
  t88 0 2 3
  t89 1 0 2
  t90 0 2 0
  t91 0 3 0
  t92 1 3 3
  t93 3 3 3
  t94 2 3 1
  t95 2 2 3
  t96 0 0 0
  t97 1 1 1
  t98 1 1 0
  t99 1 2 0
  t100 0 1 2
  t101 2 1 0
  t102 3 0 1
  t103 2 0 3
  t104 0 3 0
  t105 1 1 2
  t106 2 3 0
  t107 3 1 2
  t108 3 2 2
  t109 1 0 0
  t110 0 1 0
  t111 2 3 3
  t112 2 0 1
  t113 1 2 2
  t114 1 0 2
  t115 2 2 0
  t116 3 1 0
  t117 3 3 1
  t118 2 0 1
  t119 0 2 3
  t120 3 2 0
  t121 0 3 2
  t122 3 0 1
  t123 1 2 0
  t124 3 1 1
  t125 2 3 3
  t126 0 3 3
  t127 0 0 1
  t128 2 3 1
  t129 3 0 2
  t130 2 0 0
  t131 1 2 1
  t132 2 1 1
  t133 3 3 2
  t134 3 3 2
  t135 0 0 3
  t136 0 2 0
  t137 3 0 1
  t138 3 1 3
  t139 0 1 1
  t140 1 2 3
  t141 0 0 0
  t142 2 1 0
  t143 2 3 0
  t144 3 1 0
  t145 2 2 1
  t146 3 1 1
  t147 0 0 1
  t148 1 1 1
  t149 3 1 2
  t150 1 3 2
  t151 3 3 3
  t152 1 0 2
  t153 0 0 2
  t154 1 0 3
  t155 3 3 2
  t156 0 1 2
  t157 1 0 3
  t158 3 0 0
  t159 1 3 2
  t160 0 1 3
  t161 3 0 1
  t162 3 2 3
  t163 2 0 3
  t164 2 0 0
  t165 0 2 0
  t166 2 3 1
  t167 3 2 0
  t168 2 3 3
  t169 1 2 2
  t170 2 3 3
  t171 3 2 2
  t172 0 1 2
  t173 0 2 3
  t174 1 2 0
  t175 3 0 3
  t176 1 1 3
  t177 0 2 3
  t178 1 2 3
  t179 1 2 2
  t180 0 1 3
  t181 2 3 2
  t182 0 0 1
  t183 2 0 2
  t184 1 1 1
  t185 3 2 2
  t186 1 0 2
  t187 3 0 2
  t188 3 2 1
  t189 0 1 1
  t190 1 2 2
  t191 2 2 0
  t192 1 2 0
  t193 0 2 3
  t194 3 2 3
  t195 2 0 1
  t196 3 1 1
  t197 2 1 0
  t198 3 2 1
  t199 0 3 3
  t200 2 2 1
;

#=========================
# Resource Demands / Capacity
#=========================
param d : r1 r2 :=
  t1 1 1
  t2 3 2
  t3 2 2
  t4 1 1
  t5 4 1
  t6 1 1
  t7 2 2
  t8 1 2
  t9 4 2
  t10 4 3
  t11 1 2
  t12 4 3
  t13 3 2
  t14 2 3
  t15 1 1
  t16 4 1
  t17 3 3
  t18 3 1
  t19 4 1
  t20 4 1
  t21 3 3
  t22 2 1
  t23 1 2
  t24 3 1
  t25 2 1
  t26 4 3
  t27 4 3
  t28 2 3
  t29 3 2
  t30 3 1
  t31 2 2
  t32 2 4
  t33 4 3
  t34 2 3
  t35 1 2
  t36 1 3
  t37 4 3
  t38 1 2
  t39 3 2
  t40 4 4
  t41 4 2
  t42 3 2
  t43 2 3
  t44 4 4
  t45 3 2
  t46 2 4
  t47 1 1
  t48 1 2
  t49 2 4
  t50 1 4
  t51 4 4
  t52 3 1
  t53 1 3
  t54 3 1
  t55 3 4
  t56 2 4
  t57 1 3
  t58 2 1
  t59 3 2
  t60 2 3
  t61 2 1
  t62 3 4
  t63 1 1
  t64 3 3
  t65 2 1
  t66 2 1
  t67 1 4
  t68 1 2
  t69 2 4
  t70 2 3
  t71 4 2
  t72 2 3
  t73 4 3
  t74 4 4
  t75 1 2
  t76 2 1
  t77 3 1
  t78 2 2
  t79 1 1
  t80 1 2
  t81 1 1
  t82 3 1
  t83 2 3
  t84 4 2
  t85 2 4
  t86 2 4
  t87 4 2
  t88 1 1
  t89 4 3
  t90 4 4
  t91 4 1
  t92 1 1
  t93 4 3
  t94 1 2
  t95 2 2
  t96 4 2
  t97 4 2
  t98 3 4
  t99 2 1
  t100 4 1
  t101 1 1
  t102 1 2
  t103 2 4
  t104 4 4
  t105 2 4
  t106 1 2
  t107 4 1
  t108 4 3
  t109 4 3
  t110 4 4
  t111 2 2
  t112 3 2
  t113 1 1
  t114 3 1
  t115 1 4
  t116 2 1
  t117 1 2
  t118 1 1
  t119 2 4
  t120 1 2
  t121 1 1
  t122 4 3
  t123 3 2
  t124 3 2
  t125 3 4
  t126 2 3
  t127 4 3
  t128 1 1
  t129 4 1
  t130 1 2
  t131 3 2
  t132 3 1
  t133 2 3
  t134 3 2
  t135 4 3
  t136 1 3
  t137 1 2
  t138 3 1
  t139 1 2
  t140 3 3
  t141 2 3
  t142 2 3
  t143 4 3
  t144 1 1
  t145 4 3
  t146 1 1
  t147 3 2
  t148 3 2
  t149 4 4
  t150 1 1
  t151 1 2
  t152 1 3
  t153 2 4
  t154 2 1
  t155 3 3
  t156 1 3
  t157 2 2
  t158 1 3
  t159 4 2
  t160 2 2
  t161 2 4
  t162 1 2
  t163 3 4
  t164 2 3
  t165 2 1
  t166 4 1
  t167 4 2
  t168 2 4
  t169 3 3
  t170 2 2
  t171 1 2
  t172 4 3
  t173 3 1
  t174 3 3
  t175 4 3
  t176 1 1
  t177 3 2
  t178 3 1
  t179 1 4
  t180 3 3
  t181 4 1
  t182 4 2
  t183 3 1
  t184 4 1
  t185 2 3
  t186 4 1
  t187 3 3
  t188 1 3
  t189 3 4
  t190 3 4
  t191 3 2
  t192 2 4
  t193 4 2
  t194 3 4
  t195 1 3
  t196 3 2
  t197 4 3
  t198 4 4
  t199 4 2
  t200 4 2
;

param r : r1 r2 :=
  s1 9 4
  s2 6 8
  s3 9 9
;

#=========================
# Server Activation / Energy
#=========================
param e :=
  s1 3
  s2 2
  s3 2
;

param M := 999;

#=========================
# Objective Coefficients
#=========================
param w :=
  t1 2
  t2 4
  t3 2
  t4 1
  t5 5
  t6 2
  t7 2
  t8 3
  t9 2
  t10 4
  t11 5
  t12 4
  t13 4
  t14 2
  t15 2
  t16 2
  t17 3
  t18 1
  t19 2
  t20 3
  t21 3
  t22 1
  t23 3
  t24 4
  t25 5
  t26 3
  t27 5
  t28 2
  t29 5
  t30 4
  t31 1
  t32 4
  t33 3
  t34 1
  t35 5
  t36 3
  t37 1
  t38 5
  t39 1
  t40 1
  t41 1
  t42 5
  t43 3
  t44 3
  t45 2
  t46 2
  t47 5
  t48 2
  t49 4
  t50 4
  t51 1
  t52 2
  t53 4
  t54 1
  t55 5
  t56 1
  t57 2
  t58 2
  t59 1
  t60 5
  t61 2
  t62 4
  t63 5
  t64 5
  t65 2
  t66 4
  t67 1
  t68 1
  t69 1
  t70 3
  t71 3
  t72 2
  t73 3
  t74 3
  t75 2
  t76 4
  t77 3
  t78 3
  t79 2
  t80 5
  t81 5
  t82 2
  t83 4
  t84 4
  t85 2
  t86 1
  t87 1
  t88 3
  t89 5
  t90 2
  t91 2
  t92 5
  t93 3
  t94 3
  t95 3
  t96 1
  t97 5
  t98 3
  t99 1
  t100 1
  t101 1
  t102 5
  t103 4
  t104 3
  t105 4
  t106 5
  t107 4
  t108 3
  t109 1
  t110 5
  t111 1
  t112 2
  t113 1
  t114 1
  t115 2
  t116 5
  t117 3
  t118 2
  t119 4
  t120 3
  t121 1
  t122 3
  t123 1
  t124 5
  t125 1
  t126 4
  t127 5
  t128 4
  t129 3
  t130 5
  t131 1
  t132 1
  t133 3
  t134 3
  t135 4
  t136 5
  t137 3
  t138 1
  t139 4
  t140 4
  t141 5
  t142 5
  t143 3
  t144 4
  t145 2
  t146 1
  t147 5
  t148 4
  t149 4
  t150 5
  t151 2
  t152 5
  t153 4
  t154 3
  t155 2
  t156 1
  t157 2
  t158 3
  t159 2
  t160 1
  t161 2
  t162 2
  t163 1
  t164 3
  t165 3
  t166 2
  t167 2
  t168 3
  t169 3
  t170 3
  t171 1
  t172 3
  t173 5
  t174 3
  t175 3
  t176 1
  t177 5
  t178 1
  t179 3
  t180 5
  t181 4
  t182 4
  t183 3
  t184 2
  t185 4
  t186 4
  t187 1
  t188 2
  t189 2
  t190 2
  t191 5
  t192 1
  t193 5
  t194 2
  t195 4
  t196 3
  t197 3
  t198 2
  t199 2
  t200 4
;

param alpha := 0.1;
param gamma := 0.7;
param beta  := 0.2;

